Clock frequency is approx. 2495.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5598.5	4574.5	3208.6	2252.0	1861.1	1716.9	1441.9	1327.7	1213.5	1079.5	1020.3	971.4	942.6	903.2	845.7	849.9	848.7	850.4	821.3	875.9	846.4	882.8	890.4	849.7	912.4	926.7	825.9	935.7	911.1	875.5	957.1	707.6	922.2	880.9	997.9	976.4	1042.2	1065.9	1106.2	1061.6	1103.5	1394.0	2031.0	2128.6	2027.9	2211.2	2455.8	1451.5	2467.8	2416.8	2138.7	1736.7	2728.3	2670.5	2796.8	2745.6	2810.0	2664.6	2197.2	2777.0	2856.0	2306.8	2320.1	1036.8	
16m	6145.0	5284.6	3485.7	2387.8	2201.9	1860.7	1566.3	1438.7	1320.5	1250.3	1185.1	1132.6	1089.4	1089.5	1129.7	1003.0	1190.9	1201.1	1303.4	1359.9	1342.6	1412.5	1427.6	1241.0	1521.6	1320.8	1535.8	1838.1	1747.8	2037.5	2105.8	920.0	2139.3	2107.6	1557.2	2257.2	2398.2	2462.9	2489.3	2619.1	2413.3	2527.2	2842.0	3094.5	3263.5	3363.1	3375.9	1659.0	3172.4	3235.5	3258.8	3233.7	3353.3	3363.8	3325.0	3320.9	3344.0	3264.4	3292.1	3215.4	3121.7	3105.1	3075.3	1204.5	
8m	6087.7	5971.7	4798.0	3848.3	3214.4	2777.1	2389.3	2126.9	2132.9	2060.9	2042.8	1993.5	2073.8	1942.0	2069.8	1733.6	2515.9	2622.1	2708.9	2729.5	2755.7	2234.8	2718.9	2542.8	2807.6	2751.2	2895.4	2963.4	2937.0	2961.9	2997.1	1005.5	2873.8	2920.9	2945.8	2921.8	2889.9	2932.4	2928.1	2941.2	3005.7	3044.5	3220.1	3206.0	3210.0	3212.9	3211.9	3274.1	3144.9	3122.2	3139.2	3158.6	3091.6	3085.5	3123.6	3099.7	3081.6	3056.6	3009.2	2969.6	2947.5	2900.2	2877.1	1766.6	
4m	6447.4	6440.0	6446.8	6338.2	5999.0	5062.8	4429.6	3966.5	3770.0	3624.4	3556.0	3539.9	3442.4	3436.2	3287.9	3242.0	3267.1	3265.3	3249.5	3222.4	3208.1	3161.5	3188.2	3130.7	3263.2	3351.2	3328.6	3281.1	3246.0	3300.2	3327.5	2831.1	3329.1	3299.5	3316.5	3325.2	3324.8	3355.0	3291.4	3343.3	3417.2	3417.3	3824.8	3850.2	3888.2	3897.8	3913.6	3907.3	3923.8	3938.8	3910.4	3916.4	3922.5	3908.0	3918.1	3907.1	3919.5	3922.6	3925.7	3932.0	3928.8	3901.9	3987.5	3245.8	
2m	6646.3	6579.0	6647.6	6573.5	6275.2	5421.7	4691.0	4162.0	3984.7	3869.6	3728.5	3649.9	3592.2	3556.5	3515.9	3460.2	3474.9	3422.5	3438.6	3424.9	3404.1	3389.9	3377.5	3369.0	3366.6	3366.2	3352.8	3346.0	3348.6	3343.8	3342.0	3308.3	3343.9	3326.3	3318.5	3345.1	3353.5	3355.3	3330.7	3334.8	3347.3	3360.3	3962.8	4072.2	4153.5	4226.3	4279.4	3925.9	4413.6	4458.7	4515.1	4589.8	4578.4	4692.1	4563.5	4501.9	4974.1	4592.6	4933.7	4968.7	5073.4	4986.9	5195.1	3891.9	
1024k	6652.7	6651.7	6650.1	6634.3	6376.4	5409.9	4676.7	4147.8	3962.9	3840.6	3725.5	3644.8	3605.2	3548.0	3499.7	3495.3	3481.6	3445.0	3426.8	3422.0	3392.6	3377.8	3380.7	3365.0	3377.3	3374.9	3389.1	3402.3	3389.1	3398.2	3431.4	3368.0	3495.8	3522.1	3538.1	3576.6	3611.4	3862.0	3860.8	5191.1	6061.3	6048.0	6383.2	5994.2	6445.6	6359.3	6410.3	4366.1	6514.6	6616.8	6617.7	6530.7	6553.9	6597.4	6585.0	6543.3	6602.6	6590.8	6602.7	6598.9	6594.3	6581.1	6600.4	3896.4	
512k	6651.5	6649.4	6645.6	6622.0	6394.4	5405.9	4687.5	4151.2	3970.1	3872.6	3782.1	3647.4	3607.7	3612.2	3645.9	3535.8	3739.1	3771.9	3848.2	3932.7	4016.9	4097.4	4101.3	4191.5	4310.2	4446.1	4419.1	5015.0	5455.7	6229.3	4828.2	3413.6	5368.4	6583.7	6580.1	6568.5	6581.1	6579.8	6592.5	6588.2	6564.9	6554.5	6567.6	6548.4	6570.7	6564.5	6564.5	6227.6	6575.3	6560.1	6563.5	6537.5	6536.6	6561.6	6555.6	6561.7	6534.9	6571.6	6567.5	6551.3	6561.6	6552.5	6562.8	3836.4	
256k	6649.7	6644.6	6639.1	6634.3	6575.0	6013.5	5589.9	5161.7	5005.3	4901.7	4832.7	4837.3	4832.2	4970.1	5206.0	4662.5	5329.0	5542.6	5606.8	5658.1	5930.5	6122.3	6155.3	6171.2	6313.2	6437.1	6276.0	6320.3	6503.4	6435.3	6472.1	4542.3	6519.4	6446.9	6506.4	6516.2	6451.0	6441.5	6420.4	6509.1	6452.9	6456.2	6445.1	6462.5	6442.5	6415.8	6490.4	6476.3	6429.0	6411.6	6451.3	6456.9	6348.3	6497.6	6491.2	6474.4	6505.2	6465.4	6490.6	6427.7	6458.9	6496.0	6472.8	4603.7	
128k	6648.9	6646.2	6640.7	6627.9	6625.6	6605.3	6595.1	6576.7	6578.0	6572.4	6565.8	6544.7	6537.5	6539.7	6519.9	6484.9	6481.7	6488.3	6509.7	6509.1	6521.1	6530.6	6462.5	6525.9	6487.9	6483.6	6469.8	6431.6	6421.2	6504.4	6512.1	6308.7	6535.8	6534.5	6541.9	6524.7	6536.9	6519.5	6509.1	6528.9	6515.1	6509.1	6511.3	6518.1	6487.4	6509.8	6489.3	6170.1	6490.3	6487.9	6490.4	6468.9	6481.6	6469.8	6491.2	6487.4	6430.9	6464.0	6474.0	6426.2	6472.9	6464.2	6455.1	6141.9	
64k	6645.1	6627.9	6627.8	6602.2	6609.6	6595.4	6539.7	6484.9	6506.9	6478.1	6462.5	6464.0	6443.7	6389.4	6504.4	6340.1	6552.3	6524.7	6519.5	6528.9	6509.1	6495.3	6486.0	6475.1	6487.9	6468.9	6469.8	6458.7	6464.0	6456.7	6432.6	6141.9	6449.1	6462.6	6416.1	6414.1	6422.9	6401.3	6390.0	6386.0	6389.8	6360.2	6380.2	6361.8	6351.3	6344.8	6347.2	6354.3	6318.2	6334.6	6361.7	6338.5	6319.7	6305.5	6349.9	6291.7	6232.5	6232.4	6294.6	6249.3	6261.2	6279.5	6237.9	6026.0	
